[2023-04-20 10:41:26.560] [multi_sink] [info] id: 3162, pitch: -7.3,yaw: 7.7, altitude:522.6968, focal: 1.3375528, timestamp: 1681987241
[2023-04-20 10:41:27.561] [multi_sink] [info] id: 3163, pitch: -5.8,yaw: 0.5, altitude:522.88354, focal: 1.3375528, timestamp: 1681987242
[2023-04-20 10:41:28.561] [multi_sink] [info] id: 3164, pitch: -5.8,yaw: 0.3, altitude:523.08057, focal: 1.3375528, timestamp: 1681987243
[2023-04-20 10:41:29.560] [multi_sink] [info] id: 3165, pitch: -5.8,yaw: 0.3, altitude:523.22644, focal: 1.3375528, timestamp: 1681987244
[2023-04-20 10:41:30.561] [multi_sink] [info] id: 3166, pitch: -5.8,yaw: 0.3, altitude:523.38354, focal: 1.3375528, timestamp: 1681987245
[2023-04-20 10:41:31.565] [multi_sink] [info] id: 3167, pitch: -5.8,yaw: 0.3, altitude:523.54895, focal: 1.3375528, timestamp: 1681987246
[2023-04-20 10:41:32.589] [multi_sink] [info] id: 3168, pitch: -5.8,yaw: 0.3, altitude:523.7357, focal: 1.3375528, timestamp: 1681987247
[2023-04-20 10:41:33.573] [multi_sink] [info] id: 3169, pitch: -5.8,yaw: 0.3, altitude:523.89404, focal: 1.3375528, timestamp: 1681987248
[2023-04-20 10:41:34.580] [multi_sink] [info] id: 3170, pitch: -6.9,yaw: 0.4, altitude:524.0835, focal: 1.3375528, timestamp: 1681987249
[2023-04-20 10:41:35.566] [multi_sink] [info] id: 3171, pitch: -10.1,yaw: 1, altitude:524.2783, focal: 1.3375528, timestamp: 1681987250
[2023-04-20 10:41:36.572] [multi_sink] [info] id: 3172, pitch: -13.3,yaw: 1.7, altitude:524.4309, focal: 1.3375528, timestamp: 1681987251
[2023-04-20 10:41:37.582] [multi_sink] [info] id: 3173, pitch: -16.1,yaw: 1.9, altitude:524.5714, focal: 1.3375528, timestamp: 1681987252
[2023-04-20 10:41:38.582] [multi_sink] [info] id: 3174, pitch: -17.7,yaw: 2, altitude:524.73645, focal: 1.3375528, timestamp: 1681987253
[2023-04-20 10:41:39.582] [multi_sink] [info] id: 3175, pitch: -17.7,yaw: 1.9, altitude:524.9076, focal: 1.7046413, timestamp: 1681987254
[2023-04-20 10:41:40.582] [multi_sink] [info] id: 3176, pitch: -17.7,yaw: 1.9, altitude:525.0896, focal: 1.7046413, timestamp: 1681987255
[2023-04-20 10:41:41.582] [multi_sink] [info] id: 3177, pitch: -17.7,yaw: 1.9, altitude:525.28577, focal: 2.1350212, timestamp: 1681987256
[2023-04-20 10:41:42.576] [multi_sink] [info] id: 3178, pitch: -17.7,yaw: 1.9, altitude:525.4408, focal: 3.2489452, timestamp: 1681987257
[2023-04-20 10:41:43.575] [multi_sink] [info] id: 3179, pitch: -17.7,yaw: 1.9, altitude:525.5984, focal: 3.5611815, timestamp: 1681987258
[2023-04-20 10:41:44.575] [multi_sink] [info] id: 3180, pitch: -17.8,yaw: 1.1, altitude:525.7888, focal: 3.5611815, timestamp: 1681987259
[2023-04-20 10:41:45.575] [multi_sink] [info] id: 3181, pitch: -17.9,yaw: -0.6, altitude:525.9636, focal: 3.5611815, timestamp: 1681987260
[2023-04-20 10:41:46.575] [multi_sink] [info] id: 3182, pitch: -17.8,yaw: -2.5, altitude:526.14233, focal: 3.5611815, timestamp: 1681987261
[2023-04-20 10:41:47.575] [multi_sink] [info] id: 3183, pitch: -17.9,yaw: -4.4, altitude:526.33276, focal: 3.5611815, timestamp: 1681987262
[2023-04-20 10:41:48.581] [multi_sink] [info] id: 3184, pitch: -17.9,yaw: -6.4, altitude:526.5105, focal: 3.5611815, timestamp: 1681987263
[2023-04-20 10:41:49.581] [multi_sink] [info] id: 3185, pitch: -17.9,yaw: -8.3, altitude:526.6952, focal: 3.5611815, timestamp: 1681987264
[2023-04-20 10:41:50.580] [multi_sink] [info] id: 3186, pitch: -17.9,yaw: -10.2, altitude:526.86584, focal: 3.5611815, timestamp: 1681987265
[2023-04-20 10:41:51.580] [multi_sink] [info] id: 3187, pitch: -17.9,yaw: -12.1, altitude:527.03564, focal: 3.5611815, timestamp: 1681987266
[rtsp @ 0x55cf50d503c0] Too short data for FU-A H.264 RTP packet
[h264 @ 0x55cf50d48780] error while decoding MB 9 15, bytestream -7
[2023-04-20 10:41:52.581] [multi_sink] [info] id: 3188, pitch: -17.9,yaw: -14, altitude:527.2069, focal: 3.5611815, timestamp: 1681987267
[2023-04-20 10:41:53.579] [multi_sink] [info] id: 3189, pitch: -17.9,yaw: -16, altitude:527.3728, focal: 3.5611815, timestamp: 1681987268
[2023-04-20 10:41:54.585] [multi_sink] [info] id: 3190, pitch: -17.8,yaw: -17.9, altitude:527.5388, focal: 3.5611815, timestamp: 1681987269
[2023-04-20 10:41:55.590] [multi_sink] [info] id: 3191, pitch: -17.9,yaw: -19.8, altitude:527.69495, focal: 3.5611815, timestamp: 1681987270
[2023-04-20 10:41:56.590] [multi_sink] [info] id: 3192, pitch: -17.9,yaw: -21.7, altitude:527.86206, focal: 3.5611815, timestamp: 1681987271
[2023-04-20 10:41:57.590] [multi_sink] [info] id: 3193, pitch: -17.8,yaw: -23.6, altitude:528.03345, focal: 3.5611815, timestamp: 1681987272
[2023-04-20 10:41:58.591] [multi_sink] [info] id: 3194, pitch: -17.8,yaw: -25.6, altitude:528.213, focal: 3.5611815, timestamp: 1681987273
[2023-04-20 10:41:59.595] [multi_sink] [info] id: 3195, pitch: -15.2,yaw: -26.4, altitude:528.3905, focal: 3.5611815, timestamp: 1681987274
[2023-04-20 10:42:00.595] [multi_sink] [info] id: 3196, pitch: -10.9,yaw: -26.4, altitude:528.5405, focal: 3.5611815, timestamp: 1681987275
[2023-04-20 10:42:01.596] [multi_sink] [info] id: 3197, pitch: -8.8,yaw: -26.4, altitude:528.7113, focal: 3.5611815, timestamp: 1681987276
[2023-04-20 10:42:02.595] [multi_sink] [info] id: 3198, pitch: -9.3,yaw: -25.4, altitude:528.88794, focal: 3.5611815, timestamp: 1681987277
[2023-04-20 10:42:03.610] [multi_sink] [info] id: 3199, pitch: -10.6,yaw: -23.5, altitude:529.0626, focal: 3.5611815, timestamp: 1681987278
[2023-04-20 10:42:04.613] [multi_sink] [info] id: 3200, pitch: -11.5,yaw: -21.9, altitude:529.2301, focal: 3.5611815, timestamp: 1681987279
[2023-04-20 10:42:05.602] [multi_sink] [info] id: 3201, pitch: -12.2,yaw: -20, altitude:529.4127, focal: 3.5611815, timestamp: 1681987280
[2023-04-20 10:42:06.612] [multi_sink] [info] id: 3202, pitch: -11.6,yaw: -17.8, altitude:529.589, focal: 3.5611815, timestamp: 1681987281
[2023-04-20 10:42:07.612] [multi_sink] [info] id: 3203, pitch: -10.2,yaw: -15.2, altitude:529.74255, focal: 3.5611815, timestamp: 1681987282
[2023-04-20 10:42:08.602] [multi_sink] [info] id: 3204, pitch: -9.7,yaw: -12.7, altitude:529.91846, focal: 3.5611815, timestamp: 1681987283
[2023-04-20 10:42:09.612] [multi_sink] [info] id: 3205, pitch: -9.6,yaw: -10.1, altitude:530.0906, focal: 3.5611815, timestamp: 1681987284
[2023-04-20 10:42:10.612] [multi_sink] [info] id: 3206, pitch: -9.7,yaw: -7.5, altitude:530.29785, focal: 3.5611815, timestamp: 1681987285
[2023-04-20 10:42:11.613] [multi_sink] [info] id: 3207, pitch: -9.7,yaw: -5, altitude:530.4691, focal: 3.5611815, timestamp: 1681987286
[2023-04-20 10:42:12.612] [multi_sink] [info] id: 3208, pitch: -9.7,yaw: -3.3, altitude:530.6129, focal: 3.5611815, timestamp: 1681987287
[rtsp @ 0x55cf50d503c0] Too short data for FU-A H.264 RTP packet
[h264 @ 0x55cf50d440c0] error while decoding MB 39 17, bytestream -7
[2023-04-20 10:42:13.622] [multi_sink] [info] id: 3209, pitch: -9.6,yaw: -2, altitude:530.78015, focal: 3.5611815, timestamp: 1681987288
[2023-04-20 10:42:14.611] [multi_sink] [info] id: 3210, pitch: -9.7,yaw: -0.7, altitude:530.9413, focal: 3.5611815, timestamp: 1681987289
[2023-04-20 10:42:15.610] [multi_sink] [info] id: 3211, pitch: -9.7,yaw: 0.2, altitude:531.10547, focal: 3.5611815, timestamp: 1681987290
[2023-04-20 10:42:16.610] [multi_sink] [info] id: 3212, pitch: -9.6,yaw: 0.8, altitude:531.2809, focal: 3.5611815, timestamp: 1681987291
[rtsp @ 0x55cf50d503c0] Too short data for FU-A H.264 RTP packet
[h264 @ 0x55cf577ef080] error while decoding MB 26 16, bytestream -5
[2023-04-20 10:42:17.610] [multi_sink] [info] id: 3213, pitch: -9.6,yaw: 1.3, altitude:531.45825, focal: 3.5611815, timestamp: 1681987292
[2023-04-20 10:42:18.610] [multi_sink] [info] id: 3214, pitch: -9.6,yaw: 1.3, altitude:531.6356, focal: 3.5611815, timestamp: 1681987293
[2023-04-20 10:42:19.611] [multi_sink] [info] id: 3215, pitch: -8.3,yaw: 1.4, altitude:531.83826, focal: 3.5611815, timestamp: 1681987294
[2023-04-20 10:42:20.610] [multi_sink] [info] id: 3216, pitch: -5.9,yaw: 1.4, altitude:531.98193, focal: 3.5611815, timestamp: 1681987295
[2023-04-20 10:42:21.610] [multi_sink] [info] id: 3217, pitch: -4.9,yaw: 1.4, altitude:532.1605, focal: 3.5611815, timestamp: 1681987296
[2023-04-20 10:42:22.611] [multi_sink] [info] id: 3218, pitch: -4.9,yaw: 1.4, altitude:532.3463, focal: 3.8059072, timestamp: 1681987297
[2023-04-20 10:42:23.615] [multi_sink] [info] id: 3219, pitch: -4.9,yaw: 1.5, altitude:532.5145, focal: 4.164557, timestamp: 1681987298
[2023-04-20 10:42:24.616] [multi_sink] [info] id: 3220, pitch: -4.9,yaw: 1.4, altitude:532.6721, focal: 4.85654, timestamp: 1681987299
[2023-04-20 10:42:25.615] [multi_sink] [info] id: 3221, pitch: -4.9,yaw: 1.4, altitude:532.855, focal: 5.189873, timestamp: 1681987300
[2023-04-20 10:42:26.615] [multi_sink] [info] id: 3222, pitch: -4.9,yaw: 1.4, altitude:533.04895, focal: 6.320675, timestamp: 1681987301
[2023-04-20 10:42:27.619] [multi_sink] [info] id: 3223, pitch: -4.8,yaw: 1.4, altitude:533.2107, focal: 6.320675, timestamp: 1681987302
[2023-04-20 10:42:28.621] [multi_sink] [info] id: 3224, pitch: -4.4,yaw: 1.4, altitude:533.36145, focal: 6.320675, timestamp: 1681987303
[2023-04-20 10:42:29.620] [multi_sink] [info] id: 3225, pitch: -4.4,yaw: 1.4, altitude:533.53296, focal: 6.320675, timestamp: 1681987304
[2023-04-20 10:42:30.620] [multi_sink] [info] id: 3226, pitch: -4.8,yaw: 1.4, altitude:533.71155, focal: 6.320675, timestamp: 1681987305
[2023-04-20 10:42:31.621] [multi_sink] [info] id: 3227, pitch: -5.4,yaw: 1.4, altitude:533.87964, focal: 6.320675, timestamp: 1681987306
[2023-04-20 10:42:32.625] [multi_sink] [info] id: 3228, pitch: -5.5,yaw: 0.6, altitude:534.03467, focal: 6.320675, timestamp: 1681987307
[2023-04-20 10:42:33.630] [multi_sink] [info] id: 3229, pitch: -5.6,yaw: -0.5, altitude:534.188, focal: 6.320675, timestamp: 1681987308
[2023-04-20 10:42:34.632] [multi_sink] [info] id: 3230, pitch: -5.6,yaw: -1.5, altitude:534.3541, focal: 6.5907173, timestamp: 1681987309
[2023-04-20 10:42:35.632] [multi_sink] [info] id: 3231, pitch: -5.6,yaw: -2.8, altitude:534.5393, focal: 11.084388, timestamp: 1681987310
[2023-04-20 10:42:36.632] [multi_sink] [info] id: 3232, pitch: -5.5,yaw: -4.1, altitude:534.70667, focal: 14.025316, timestamp: 1681987311
[2023-04-20 10:42:37.643] [multi_sink] [info] id: 3233, pitch: -5.5,yaw: -5.3, altitude:534.8854, focal: 15.590717, timestamp: 1681987312
[2023-04-20 10:42:38.642] [multi_sink] [info] id: 3234, pitch: -5.6,yaw: -5.3, altitude:535.07434, focal: 15.590717, timestamp: 1681987313
[2023-04-20 10:42:39.642] [multi_sink] [info] id: 3235, pitch: -5.5,yaw: -5.3, altitude:535.239, focal: 15.590717, timestamp: 1681987314
[2023-04-20 10:42:40.642] [multi_sink] [info] id: 3236, pitch: -5.3,yaw: -5, altitude:535.422, focal: 15.590717, timestamp: 1681987315
[2023-04-20 10:42:41.642] [multi_sink] [info] id: 3237, pitch: -5.1,yaw: -3.8, altitude:535.5995, focal: 15.590717, timestamp: 1681987316
[2023-04-20 10:42:42.643] [multi_sink] [info] id: 3238, pitch: -5.1,yaw: -3.8, altitude:535.7639, focal: 15.590717, timestamp: 1681987317
[2023-04-20 10:42:43.636] [multi_sink] [info] id: 3239, pitch: -5.1,yaw: -3.8, altitude:535.9326, focal: 15.590717, timestamp: 1681987318
[2023-04-20 10:42:44.635] [multi_sink] [info] id: 3240, pitch: -5.1,yaw: -3.8, altitude:536.08215, focal: 20.147678, timestamp: 1681987319
[2023-04-20 10:42:45.635] [multi_sink] [info] id: 3241, pitch: -4.1,yaw: -3.7, altitude:536.25085, focal: 23.01266, timestamp: 1681987320
[2023-04-20 10:42:46.635] [multi_sink] [info] id: 3242, pitch: -2,yaw: -3.7, altitude:536.4341, focal: 23.01266, timestamp: 1681987321
[2023-04-20 10:42:47.640] [multi_sink] [info] id: 3243, pitch: -1.7,yaw: -3.7, altitude:536.6105, focal: 23.01266, timestamp: 1681987322
[2023-04-20 10:42:48.640] [multi_sink] [info] id: 3244, pitch: -3,yaw: -3.7, altitude:536.77637, focal: 23.01266, timestamp: 1681987323
[2023-04-20 10:42:49.640] [multi_sink] [info] id: 3245, pitch: -4.1,yaw: -3.7, altitude:536.9772, focal: 23.01266, timestamp: 1681987324
[2023-04-20 10:42:50.640] [multi_sink] [info] id: 3246, pitch: -4.1,yaw: -3.7, altitude:537.1553, focal: 23.01266, timestamp: 1681987325
[2023-04-20 10:42:51.645] [multi_sink] [info] id: 3247, pitch: -3.6,yaw: -3.6, altitude:537.30347, focal: 23.01266, timestamp: 1681987326
[2023-04-20 10:42:52.646] [multi_sink] [info] id: 3248, pitch: -3.3,yaw: -3.9, altitude:537.45593, focal: 23.01266, timestamp: 1681987327
[2023-04-20 10:42:53.650] [multi_sink] [info] id: 3249, pitch: -3.3,yaw: -4.3, altitude:537.621, focal: 23.01266, timestamp: 1681987328
[2023-04-20 10:42:54.650] [multi_sink] [info] id: 3250, pitch: -3.2,yaw: -4.8, altitude:537.7987, focal: 23.01266, timestamp: 1681987329
[2023-04-20 10:42:55.650] [multi_sink] [info] id: 3251, pitch: -4.6,yaw: -5, altitude:537.98804, focal: 23.01266, timestamp: 1681987330
[2023-04-20 10:42:56.661] [multi_sink] [info] id: 3252, pitch: -5.9,yaw: -5, altitude:538.15063, focal: 23.01266, timestamp: 1681987331
[2023-04-20 10:42:57.670] [multi_sink] [info] id: 3253, pitch: -5.9,yaw: -4.9, altitude:538.31226, focal: 23.01266, timestamp: 1681987332
